sample	type	group	R1	R2	library	lane	center
EGAF00002727215	PE	cancer	/lustre/fs0/storage/u812009/analysis/public_datasets/trypipeline/data/cancer/EGAF00002727215/PGDX6834P_WGS_R1.fastq	/lustre/fs0/storage/u812009/analysis/public_datasets/trypipeline/data/cancer/EGAF00002727215/PGDX6834P_WGS_R2.fastq	LIB1	L001	CENTER1
EGAF00002727215	PE	cancer	/lustre/fs0/storage/u812009/analysis/public_datasets/trypipeline/data/cancer/EGAF00002727215/PGDX6834P_WGS_R1.fastq.gz	/lustre/fs0/storage/u812009/analysis/public_datasets/trypipeline/data/cancer/EGAF00002727215/PGDX6834P_WGS_R2.fastq.gz	LIB1	L001	CENTER1
EGAF00002727216	PE	cancer	/lustre/fs0/storage/u812009/analysis/public_datasets/trypipeline/data/cancer/EGAF00002727216/PGDX6835P_WGS_R1.fastq	/lustre/fs0/storage/u812009/analysis/public_datasets/trypipeline/data/cancer/EGAF00002727216/PGDX6835P_WGS_R2.fastq	LIB1	L001	CENTER1
EGAF00002727219	PE	cancer	/lustre/fs0/storage/u812009/analysis/public_datasets/trypipeline/data/cancer/EGAF00002727219/PGDX6838P1_WGS_R1.fastq	/lustre/fs0/storage/u812009/analysis/public_datasets/trypipeline/data/cancer/EGAF00002727219/PGDX6838P1_WGS_R2.fastq	LIB1	L001	CENTER1
EGAF00002727221	PE	cancer	/lustre/fs0/storage/u812009/analysis/public_datasets/trypipeline/data/cancer/EGAF00002727221/PGDX6962P1_WGS_R1.fastq	/lustre/fs0/storage/u812009/analysis/public_datasets/trypipeline/data/cancer/EGAF00002727221/PGDX6962P1_WGS_R2.fastq	LIB1	L001	CENTER1
EGAF00002727227	PE	cancer	/lustre/fs0/storage/u812009/analysis/public_datasets/trypipeline/data/cancer/EGAF00002727227/PGDX7102P_WGS_R1.fastq	/lustre/fs0/storage/u812009/analysis/public_datasets/trypipeline/data/cancer/EGAF00002727227/PGDX7102P_WGS_R2.fastq	LIB1	L001	CENTER1
EGAF00002727229	PE	cancer	/lustre/fs0/storage/u812009/analysis/public_datasets/trypipeline/data/cancer/EGAF00002727229/PGDX7584P_WGS_R1.fastq	/lustre/fs0/storage/u812009/analysis/public_datasets/trypipeline/data/cancer/EGAF00002727229/PGDX7584P_WGS_R2.fastq	LIB1	L001	CENTER1
EGAF00002727255	PE	cancer	/lustre/fs0/storage/u812009/analysis/public_datasets/trypipeline/data/cancer/EGAF00002727255/PGDX7585P1_WGS_R1.fastq	/lustre/fs0/storage/u812009/analysis/public_datasets/trypipeline/data/cancer/EGAF00002727255/PGDX7585P1_WGS_R2.fastq	LIB1	L001	CENTER1
EGAF00002727257	PE	cancer	/lustre/fs0/storage/u812009/analysis/public_datasets/trypipeline/data/cancer/EGAF00002727257/PGDX10624P7_WGS_R1.fastq	/lustre/fs0/storage/u812009/analysis/public_datasets/trypipeline/data/cancer/EGAF00002727257/PGDX10624P7_WGS_R2.fastq	LIB1	L001	CENTER1
EGAF00002727258	PE	cancer	/lustre/fs0/storage/u812009/analysis/public_datasets/trypipeline/data/cancer/EGAF00002727258/PGDX10624P8_WGS_R1.fastq	/lustre/fs0/storage/u812009/analysis/public_datasets/trypipeline/data/cancer/EGAF00002727258/PGDX10624P8_WGS_R2.fastq	LIB1	L001	CENTER1
EGAF00002727259	PE	cancer	/lustre/fs0/storage/u812009/analysis/public_datasets/trypipeline/data/cancer/EGAF00002727259/PGDX10624P6_WGS_R1.fastq	/lustre/fs0/storage/u812009/analysis/public_datasets/trypipeline/data/cancer/EGAF00002727259/PGDX10624P6_WGS_R2.fastq	LIB1	L001	CENTER1
EGAF00002727260	PE	cancer	/lustre/fs0/storage/u812009/analysis/public_datasets/trypipeline/data/cancer/EGAF00002727260/PGDX10624P5_WGS_R1.fastq	/lustre/fs0/storage/u812009/analysis/public_datasets/trypipeline/data/cancer/EGAF00002727260/PGDX10624P5_WGS_R2.fastq	LIB1	L001	CENTER1
EGAF00002727261	PE	cancer	/lustre/fs0/storage/u812009/analysis/public_datasets/trypipeline/data/cancer/EGAF00002727261/PGDX10625P8_WGS_R1.fastq	/lustre/fs0/storage/u812009/analysis/public_datasets/trypipeline/data/cancer/EGAF00002727261/PGDX10625P8_WGS_R2.fastq	LIB1	L001	CENTER1
EGAF00002727262	PE	cancer	/lustre/fs0/storage/u812009/analysis/public_datasets/trypipeline/data/cancer/EGAF00002727262/PGDX10625P7_WGS_R1.fastq	/lustre/fs0/storage/u812009/analysis/public_datasets/trypipeline/data/cancer/EGAF00002727262/PGDX10625P7_WGS_R2.fastq	LIB1	L001	CENTER1
EGAF00002727263	PE	cancer	/lustre/fs0/storage/u812009/analysis/public_datasets/trypipeline/data/cancer/EGAF00002727263/PGDX10625P6_WGS_R1.fastq	/lustre/fs0/storage/u812009/analysis/public_datasets/trypipeline/data/cancer/EGAF00002727263/PGDX10625P6_WGS_R2.fastq	LIB1	L001	CENTER1
EGAF00002727264	PE	cancer	/lustre/fs0/storage/u812009/analysis/public_datasets/trypipeline/data/cancer/EGAF00002727264/PGDX10625P5_WGS_R1.fastq	/lustre/fs0/storage/u812009/analysis/public_datasets/trypipeline/data/cancer/EGAF00002727264/PGDX10625P5_WGS_R2.fastq	LIB1	L001	CENTER1
